classification,n_charities_all_years,programs_2021,programs_2022,programs_2023,programs_2024
Basic and emergency aid,1047,761,863,908,944
Surf life saving,199,221,237,244,269
Disaster relief,146,90,104,91,88
Safety education,137,136,147,152,163
Disasters and emergency management,122,89,88,88,99
Domestic and exotic animal rescue and rehabilitation,102,57,65,81,86
Disasters,97,49,58,63,60
Emergency medical services,97,59,71,79,96
Public safety,96,65,78,80,96
Search and rescue,81,74,63,63,64
Bushfires,65,51,48,40,38
First aid training,64,60,63,64,67
Floods,58,8,25,38,25
Disaster recovery,53,32,44,37,34
Motor vehicle safety,49,45,51,54,62
Disaster preparedness,44,18,28,39,38
Traffic safety,38,28,29,30,38
Fire prevention and control,37,31,16,16,18
Storms and cyclones,20,10,9,5,4
Spinal cord injuries and diseases,18,12,14,16,18
Home safety,15,10,10,12,13
Emergency medicine,14,7,9,14,11
Drug safety,11,8,8,9,13
Emergency care,11,9,8,8,9
Non-natural disasters,11,3,6,8,6
Food safety,8,7,6,7,7
Pedestrian safety,6,4,4,5,5
Bicycle safety,3,2,2,2,2
Household products safety,3,4,4,3,3
